owning_module,model_name,field_id,field_name,ttype,relation,relation_table,relation_field,on_delete,required,readonly,index,store,field_description
base,base.language.export,1521,modules,many2many,ir.module.module,rel_modules_langexport,,,f,f,f,t,"{""en_US"": ""Apps To Export""}"
base,base.language.install,1480,lang_ids,many2many,res.lang,res_lang_install_rel,,,t,f,f,t,"{""en_US"": ""Languages""}"
base,base.module.uninstall,1508,module_ids,many2many,ir.module.module,base_module_uninstall_ir_module_module_rel,,,t,t,f,t,"{""en_US"": ""Module(s)""}"
base,base.partner.merge.automatic.wizard,1551,partner_ids,many2many,res.partner,base_partner_merge_automatic_wizard_res_partner_rel,,,f,f,f,t,"{""en_US"": ""Contacts""}"
base,ir.actions.act_window,286,group_ids,many2many,res.groups,ir_act_window_group_rel,,,f,f,f,t,"{""en_US"": ""Groups""}"
base,ir.actions.report,468,group_ids,many2many,res.groups,res_groups_report_rel,,,f,f,f,t,"{""en_US"": ""Groups""}"
base,ir.actions.server,381,group_ids,many2many,res.groups,ir_act_server_group_rel,,,f,f,f,t,"{""en_US"": ""Allowed Groups""}"
base,ir.actions.server,396,webhook_field_ids,many2many,ir.model.fields,ir_act_server_webhook_field_rel,,,f,f,f,t,"{""en_US"": ""Webhook Fields""}"
base,ir.embedded.actions,444,groups_ids,many2many,res.groups,ir_embedded_actions_res_groups_rel,,,f,f,f,t,"{""en_US"": ""Groups""}"
base,ir.filters,583,user_ids,many2many,res.users,ir_filters_res_users_rel,,,f,f,f,t,"{""en_US"": ""Users""}"
base,ir.model.fields,51,groups,many2many,res.groups,ir_model_fields_group_rel,,,f,f,f,t,"{""en_US"": ""Groups""}"
base,ir.module.module,768,country_ids,many2many,res.country,module_country,,,f,f,f,t,"{""en_US"": ""Country""}"
base,ir.rule,630,groups,many2many,res.groups,rule_group_rel,,,f,f,f,t,"{""en_US"": ""Groups""}"
base,ir.ui.menu,175,group_ids,many2many,res.groups,ir_ui_menu_group_rel,,,f,f,f,t,"{""en_US"": ""Groups""}"
base,ir.ui.view,210,group_ids,many2many,res.groups,ir_ui_view_group_rel,,,f,f,f,t,"{""en_US"": ""Groups""}"
base,res.company,1183,user_ids,many2many,res.users,res_company_users_rel,,,f,f,f,t,"{""en_US"": ""Accepted Users""}"
base,res.country,928,country_group_ids,many2many,res.country.group,res_country_res_country_group_rel,,,f,f,f,t,"{""en_US"": ""Country Groups""}"
base,res.country.group,943,country_ids,many2many,res.country,res_country_res_country_group_rel,,,f,f,f,t,"{""en_US"": ""Countries""}"
base,res.groups,1242,implied_by_ids,many2many,res.groups,res_groups_implied_rel,,,f,f,f,t,"{""en_US"": ""Implying Groups""}"
base,res.groups,1240,implied_ids,many2many,res.groups,res_groups_implied_rel,,,f,f,f,t,"{""en_US"": ""Implied Groups""}"
base,res.groups,1231,menu_access,many2many,ir.ui.menu,ir_ui_menu_group_rel,,,f,f,f,t,"{""en_US"": ""Access Menu""}"
base,res.groups,1230,rule_groups,many2many,ir.rule,rule_group_rel,,,f,f,f,t,"{""en_US"": ""Rules""}"
base,res.groups,1226,user_ids,many2many,res.users,res_groups_users_rel,,,f,f,f,t,"{""en_US"": ""User""}"
base,res.groups,1232,view_access,many2many,ir.ui.view,ir_ui_view_group_rel,,,f,f,f,t,"{""en_US"": ""Views""}"
base,res.partner,1029,category_id,many2many,res.partner.category,res_partner_res_partner_category_rel,,,f,f,f,t,"{""en_US"": ""Tags""}"
base,res.partner.category,989,partner_ids,many2many,res.partner,res_partner_res_partner_category_rel,,,f,f,f,t,"{""en_US"": ""Partners""}"
base,res.users,1275,company_ids,many2many,res.company,res_company_users_rel,,,f,f,f,t,"{""en_US"": ""Companies""}"
base,res.users,1280,group_ids,many2many,res.groups,res_groups_users_rel,,,f,f,f,t,"{""en_US"": ""Groups""}"
crm,crm.lead,3885,tag_ids,many2many,crm.tag,crm_tag_rel,,,f,f,f,t,"{""en_US"": ""Tags""}"
crm,crm.lead.lost,4066,lead_ids,many2many,crm.lead,crm_lead_crm_lead_lost_rel,,,f,f,f,t,"{""en_US"": ""Leads""}"
crm,crm.lead.pls.update,4122,pls_fields,many2many,crm.lead.scoring.frequency.field,crm_lead_pls_update_crm_lead_scoring_frequency_field_rel,,,f,f,f,t,"{""en_US"": ""Pls Fields""}"
crm,crm.lead2opportunity.partner,4080,duplicated_lead_ids,many2many,crm.lead,crm_lead_crm_lead2opportunity_partner_rel,,,f,f,f,t,"{""en_US"": ""Opportunities""}"
crm,crm.lead2opportunity.partner.mass,4097,duplicated_lead_ids,many2many,crm.lead,crm_lead_crm_lead2opportunity_partner_mass_rel,,,f,f,f,t,"{""en_US"": ""Opportunities""}"
crm,crm.lead2opportunity.partner.mass,4107,lead_tomerge_ids,many2many,crm.lead,crm_convert_lead_mass_lead_rel,,,f,f,f,t,"{""en_US"": ""Active Leads""}"
crm,crm.lead2opportunity.partner.mass,4108,user_ids,many2many,res.users,crm_lead2opportunity_partner_mass_res_users_rel,,,f,f,f,t,"{""en_US"": ""Salespersons""}"
crm,crm.merge.opportunity,4112,opportunity_ids,many2many,crm.lead,merge_opportunity_rel,,,f,f,f,t,"{""en_US"": ""Leads/Opportunities""}"
crm,crm.stage,3825,team_ids,many2many,crm.team,crm_stage_crm_team_rel,,,f,f,f,t,"{""en_US"": ""Sales Teams""}"
